goos: darwin
goarch: arm64
pkg: github.com/arnonrgo/immutable
cpu: Apple M2 Pro
BenchmarkScaling/MapBuilder_Set_N100000-12     	     100	  10123575 ns/op	 8386168 B/op	  305719 allocs/op
BenchmarkScaling/SortedMap_Set_N100000-12      	      14	  81137881 ns/op	207550491 B/op	  989042 allocs/op
BenchmarkScaling/SortedMap_Set_N100000-12      	      14	  80276131 ns/op	207550353 B/op	  989041 allocs/op
BenchmarkScaling/SortedMap_Set_N100000-12      	      14	  83959232 ns/op	207550717 B/op	  989045 allocs/op
BenchmarkMemoryUsage/List_MemoryGrowth/N10-12  	 1596333	       655.5 ns/op	       108.0 bytes/element	    1080 B/op	      32 allocs/op
BenchmarkMemoryUsage/List_MemoryGrowth/N10-12  	 1850197	       648.1 ns/op	       108.0 bytes/element	    1080 B/op	      32 allocs/op
BenchmarkMemoryUsage/List_MemoryGrowth/N10-12  	 1984988	       601.2 ns/op	       108.0 bytes/element	    1080 B/op	      32 allocs/op
BenchmarkMemoryUsage/List_MemoryGrowth/N100-12 	   66992	     19364 ns/op	      1081 bytes/element	  108056 B/op	     377 allocs/op
BenchmarkMemoryUsage/List_MemoryGrowth/N100-12 	   61234	     19693 ns/op	      1081 bytes/element	  108056 B/op	     377 allocs/op
BenchmarkMemoryUsage/List_MemoryGrowth/N100-12 	   60217	     19825 ns/op	      1081 bytes/element	  108056 B/op	     377 allocs/op
BenchmarkMemoryUsage/List_MemoryGrowth/N1000-12         	    4846	    265042 ns/op	      1441 bytes/element	 1440928 B/op	    4005 allocs/op
BenchmarkMemoryUsage/List_MemoryGrowth/N1000-12         	    5127	    240535 ns/op	      1441 bytes/element	 1440929 B/op	    4005 allocs/op
BenchmarkMemoryUsage/List_MemoryGrowth/N1000-12         	    5010	    234344 ns/op	      1441 bytes/element	 1440929 B/op	    4005 allocs/op
BenchmarkMemoryUsage/List_MemoryGrowth/N10000-12        	     385	   3133724 ns/op	      1995 bytes/element	19945910 B/op	   49273 allocs/op
BenchmarkMemoryUsage/List_MemoryGrowth/N10000-12        	     384	   3261122 ns/op	      1995 bytes/element	19945912 B/op	   49273 allocs/op
BenchmarkMemoryUsage/List_MemoryGrowth/N10000-12        	     386	   3084219 ns/op	      1995 bytes/element	19945901 B/op	   49273 allocs/op
BenchmarkMemoryUsage/StructuralSharing_List-12          	 1000000	      1019 ns/op	    7008 B/op	      17 allocs/op
BenchmarkMemoryUsage/StructuralSharing_List-12          	 1000000	      1036 ns/op	    7008 B/op	      17 allocs/op
BenchmarkMemoryUsage/StructuralSharing_List-12          	 1000000	      1040 ns/op	    7008 B/op	      17 allocs/op
BenchmarkMemoryUsage/StructuralSharing_Map-12           	 1726669	       691.3 ns/op	    3715 B/op	      16 allocs/op
BenchmarkMemoryUsage/StructuralSharing_Map-12           	 1710328	       685.2 ns/op	    3715 B/op	      16 allocs/op
BenchmarkMemoryUsage/StructuralSharing_Map-12           	 1709664	       694.1 ns/op	    3715 B/op	      16 allocs/op
BenchmarkComparison/SliceVsList_Sequential/GoSlice_Append-12         	  129217	      9132 ns/op	   81920 B/op	       1 allocs/op
BenchmarkComparison/SliceVsList_Sequential/GoSlice_Append-12         	  129985	      9227 ns/op	   81920 B/op	       1 allocs/op
BenchmarkComparison/SliceVsList_Sequential/GoSlice_Append-12         	  129088	      9215 ns/op	   81920 B/op	       1 allocs/op
BenchmarkComparison/SliceVsList_Sequential/ImmutableList_Append-12   	     385	   3112436 ns/op	19945896 B/op	   49273 allocs/op
BenchmarkComparison/SliceVsList_Sequential/ImmutableList_Append-12   	     386	   3313961 ns/op	19945900 B/op	   49273 allocs/op
BenchmarkComparison/SliceVsList_Sequential/ImmutableList_Append-12   	     382	   3122519 ns/op	19945896 B/op	   49273 allocs/op
BenchmarkComparison/MapVsBuiltin_Sequential/GoMap_Set-12             	   12391	     96015 ns/op	  295553 B/op	      33 allocs/op
BenchmarkComparison/MapVsBuiltin_Sequential/GoMap_Set-12             	   12108	     98265 ns/op	  295553 B/op	      33 allocs/op
BenchmarkComparison/MapVsBuiltin_Sequential/GoMap_Set-12             	   12484	     99749 ns/op	  295553 B/op	      33 allocs/op
BenchmarkComparison/MapVsBuiltin_Sequential/ImmutableMap_Set-12      	     331	   3611387 ns/op	13159078 B/op	   68463 allocs/op
BenchmarkComparison/MapVsBuiltin_Sequential/ImmutableMap_Set-12      	     325	   3895410 ns/op	13159077 B/op	   68463 allocs/op
BenchmarkComparison/MapVsBuiltin_Sequential/ImmutableMap_Set-12      	     339	   3601704 ns/op	13159081 B/op	   68463 allocs/op
BenchmarkRealWorldPatterns/List_RandomAccess-12                      	  201411	      5929 ns/op	       0 B/op	       0 allocs/op
BenchmarkRealWorldPatterns/List_RandomAccess-12                      	  203002	      5890 ns/op	       0 B/op	       0 allocs/op
BenchmarkRealWorldPatterns/List_RandomAccess-12                      	  204615	      5972 ns/op	       0 B/op	       0 allocs/op
BenchmarkRealWorldPatterns/Map_RandomAccess-12                       	   78452	     15391 ns/op	       0 B/op	       0 allocs/op
BenchmarkRealWorldPatterns/Map_RandomAccess-12                       	   77514	     15398 ns/op	       0 B/op	       0 allocs/op
BenchmarkRealWorldPatterns/Map_RandomAccess-12                       	   76652	     15284 ns/op	       0 B/op	       0 allocs/op
BenchmarkRealWorldPatterns/List_MixedOperations-12                   	    3478	    360211 ns/op	 2155397 B/op	    5658 allocs/op
BenchmarkRealWorldPatterns/List_MixedOperations-12                   	    3447	    368315 ns/op	 2155398 B/op	    5658 allocs/op
BenchmarkRealWorldPatterns/List_MixedOperations-12                   	    3393	    378748 ns/op	 2155399 B/op	    5658 allocs/op
BenchmarkRealWorldPatterns/Map_MixedOperations-12                    	    4450	    271605 ns/op	 1167370 B/op	    6262 allocs/op
BenchmarkRealWorldPatterns/Map_MixedOperations-12                    	    4544	    250200 ns/op	 1167369 B/op	    6262 allocs/op
BenchmarkRealWorldPatterns/Map_MixedOperations-12                    	    4916	    300178 ns/op	 1167369 B/op	    6262 allocs/op
BenchmarkBatchListBuilder/Size100_Batch16-12                         	  284734	      4176 ns/op	    7688 B/op	      76 allocs/op
BenchmarkBatchListBuilder/Size100_Batch16-12                         	  353008	      3287 ns/op	    7688 B/op	      76 allocs/op
BenchmarkBatchListBuilder/Size100_Batch16-12                         	  358909	      3284 ns/op	    7688 B/op	      76 allocs/op
BenchmarkBatchListBuilder/Size100_Batch32-12                         	  344785	      3228 ns/op	    7816 B/op	      76 allocs/op
BenchmarkBatchListBuilder/Size100_Batch32-12                         	  340389	      3482 ns/op	    7816 B/op	      76 allocs/op
BenchmarkBatchListBuilder/Size100_Batch32-12                         	  352824	      3472 ns/op	    7816 B/op	      76 allocs/op
BenchmarkBatchListBuilder/Size100_Batch64-12                         	  330192	      3636 ns/op	    8072 B/op	      76 allocs/op
BenchmarkBatchListBuilder/Size100_Batch64-12                         	  335424	      4109 ns/op	    8072 B/op	      76 allocs/op
BenchmarkBatchListBuilder/Size100_Batch64-12                         	  332980	      3601 ns/op	    8072 B/op	      76 allocs/op
BenchmarkBatchListBuilder/Size100_Batch128-12                        	  313104	      3875 ns/op	    8584 B/op	      76 allocs/op
BenchmarkBatchListBuilder/Size100_Batch128-12                        	  319387	      3700 ns/op	    8584 B/op	      76 allocs/op
BenchmarkBatchListBuilder/Size100_Batch128-12                        	  315672	      3715 ns/op	    8584 B/op	      76 allocs/op
BenchmarkBatchListBuilder/Size1000_Batch16-12                        	   68986	     17254 ns/op	   15752 B/op	     104 allocs/op
BenchmarkBatchListBuilder/Size1000_Batch16-12                        	   69381	     17260 ns/op	   15752 B/op	     104 allocs/op
BenchmarkBatchListBuilder/Size1000_Batch16-12                        	   69778	     17202 ns/op	   15752 B/op	     104 allocs/op
BenchmarkBatchListBuilder/Size1000_Batch32-12                        	   71346	     18108 ns/op	   15880 B/op	     104 allocs/op
BenchmarkBatchListBuilder/Size1000_Batch32-12                        	   70755	     16841 ns/op	   15880 B/op	     104 allocs/op
BenchmarkBatchListBuilder/Size1000_Batch32-12                        	   70986	     16604 ns/op	   15880 B/op	     104 allocs/op
BenchmarkBatchListBuilder/Size1000_Batch64-12                        	   71029	     16891 ns/op	   16136 B/op	     104 allocs/op
BenchmarkBatchListBuilder/Size1000_Batch64-12                        	   71844	     16884 ns/op	   16136 B/op	     104 allocs/op
BenchmarkBatchListBuilder/Size1000_Batch64-12                        	   72807	     16736 ns/op	   16136 B/op	     104 allocs/op
BenchmarkBatchListBuilder/Size1000_Batch128-12                       	   69412	     17043 ns/op	   16648 B/op	     104 allocs/op
BenchmarkBatchListBuilder/Size1000_Batch128-12                       	   68634	     17346 ns/op	   16648 B/op	     104 allocs/op
BenchmarkBatchListBuilder/Size1000_Batch128-12                       	   69592	     17357 ns/op	   16648 B/op	     104 allocs/op
BenchmarkBatchListBuilder/Size10000_Batch16-12                       	    6426	    191053 ns/op	  102440 B/op	     395 allocs/op
BenchmarkBatchListBuilder/Size10000_Batch16-12                       	    6307	    191748 ns/op	  102440 B/op	     395 allocs/op
BenchmarkBatchListBuilder/Size10000_Batch16-12                       	    6304	    189920 ns/op	  102440 B/op	     395 allocs/op
BenchmarkBatchListBuilder/Size10000_Batch32-12                       	    6456	    186082 ns/op	  102568 B/op	     395 allocs/op
BenchmarkBatchListBuilder/Size10000_Batch32-12                       	    6468	    191438 ns/op	  102568 B/op	     395 allocs/op
BenchmarkBatchListBuilder/Size10000_Batch32-12                       	    6646	    184576 ns/op	  102568 B/op	     395 allocs/op
BenchmarkBatchListBuilder/Size10000_Batch64-12                       	    6229	    187892 ns/op	  102824 B/op	     395 allocs/op
BenchmarkBatchListBuilder/Size10000_Batch64-12                       	    6303	    195249 ns/op	  102824 B/op	     395 allocs/op
BenchmarkBatchListBuilder/Size10000_Batch64-12                       	    6446	    188854 ns/op	  102824 B/op	     395 allocs/op
BenchmarkBatchListBuilder/Size10000_Batch128-12                      	    6308	    189464 ns/op	  103336 B/op	     395 allocs/op
BenchmarkBatchListBuilder/Size10000_Batch128-12                      	    6403	    189180 ns/op	  103336 B/op	     395 allocs/op
